x_over_c,Cp_exp,Cp_pyfr,cfd_x_over_c,dy_m,dx_over_c,abs_error
1.226,-0.0422,0.008480638957071287,1.2259950240453086,0.005748738069087267,-4.975954691399664e-06,0.05068063895707129
1.26,-0.0401,-0.09974743960436765,1.2598947400138492,0.006410330533981323,-0.00010525998615085186,0.05964743960436765
1.2938,-0.0377,-0.07649939201418653,1.2941021294820876,0.0023663314059376717,0.0003021294820875209,0.03879939201418653
1.3267,-0.0407,-0.20147629312913815,1.3264247349330358,0.006551140919327736,-0.00027526506696418096,0.16077629312913816
1.3596,-0.0432,-0.8557032015743632,1.3594238531021845,0.0026832211297005415,-0.00017614689781542126,0.8125032015743632
1.3926,-0.0432,0.7528976128701621,1.3931271575746083,0.00354705099016428,0.0005271575746081947,0.7960976128701621
1.4266,-0.0533,-0.7205193208116601,1.427135297230312,0.0033514322713017464,0.0005352972303118708,0.6672193208116601
1.4597,-0.0564,0.650433601103539,1.4603594938913982,0.001595154870301485,0.0006594938913981885,0.706833601103539
1.4931,-0.0597,-0.4243464395504986,1.4943429401942663,0.006870471406728029,0.0012429401942661844,0.3646464395504986
1.5268,-0.064,-1.2556719030113013,1.5259739898499989,0.0,-0.0008260101500010553,1.1916719030113012
1.5593,-0.0662,-0.5385303653176714,1.560168323062715,0.005971046630293131,0.0008683230627151151,0.4723303653176714
1.5933,-0.0684,-0.17003496020584555,1.5925085260754541,0.005924506578594446,-0.0007914739245458158,0.10163496020584555
1.6265,-0.0736,0.27367032938768904,1.626832712264288,0.004211178049445152,0.00033271226428799316,0.34727032938768904
1.6594,-0.0763,0.012071194428148755,1.6590490227653867,0.0023778965696692467,-0.0003509772346133033,0.08837119442814877
1.6927,-0.0769,0.04654905052431103,1.6918633665357319,0.0020416555926203728,-0.0008366334642682105,0.12344905052431102
1.7258,-0.0797,-0.2583924573027163,1.7261182978039697,0.0,0.00031829780396974705,0.17869245730271632
1.7594,-0.0802,-0.7303853575066683,1.7585203761146182,0.0038500060327351093,-0.000879623885381875,0.6501853575066683
1.7923,-0.0821,-1.0087013516179015,1.7915065799440657,0.0019035295117646456,-0.0007934200559343019,0.9266013516179015
1.8259,-0.0788,-1.4721387146014524,1.8261905227388655,0.0,0.00029052273886542856,1.3933387146014524
1.859,-0.0786,-0.1946041617379068,1.8599578312465124,0.004743643570691347,0.0009578312465123862,0.11600416173790679
1.8926,-0.0817,-0.23261930096878042,1.8926447346096948,0.006309857591986656,4.473460969478538e-05,0.15091930096878042
1.9254,-0.0809,-0.7636486043336828,1.9256292354492914,0.004354920703917742,0.0002292354492914317,0.6827486043336828
1.9588,-0.0816,-0.05841876105152047,1.9582324084781466,0.007144727278500795,-0.0005675915218534833,0.023181238948479538
1.9918,-0.0796,-1.657451863884688,1.9925029504866827,0.0021241360809653997,0.0007029504866826741,1.5778518638846881
2.0248,-0.0783,-3.1272569331608864,1.999999937557039,0.0,-0.024800062442960957,3.0489569331608863
2.0582,-0.0769,-3.1272569331608864,1.999999937557039,0.0,-0.05820006244296083,3.050356933160886
2.0922,-0.0744,-3.1272569331608864,1.999999937557039,0.0,-0.09220006244296108,3.0528569331608866
2.125,-0.0701,-3.1272569331608864,1.999999937557039,0.0,-0.12500006244296102,3.0571569331608863
