x_over_c,x_surface_m,tx,ty,x_probe1_m,y_probe1_m,x_probe2_m,y_probe2_m
0.47875,0.201075,0.9986103282312001,0.05270116080291651,0.20104864941959855,0.05326344846931393,0.20099594825879563,0.05426205879754513
0.48,0.20159999999999997,0.998767882383927,0.04962577070762677,0.20157518711464617,0.05329042352602562,0.20152556134393854,0.05428919140840955
0.49,0.20579999999999998,0.9996903227598665,0.024884906676016127,0.20578755754666198,0.05344755346472914,0.20576267263998596,0.054447243787489004
0.49411,0.2075262,0.9998924414634595,0.01466647552215871,0.2075188667622389,0.053481801234754295,0.20750420028671676,0.05448169367621775
0.5,0.21,1.0,4.8549784174883266e-17,0.21,0.0535,0.21,0.0545
0.5085,0.21356999999999998,0.9997761476302888,-0.02115785030524378,0.21358057892515261,0.05346210387348216,0.21360173677545785,0.05446188002111245
0.51,0.2142,0.9996903227598665,-0.024884906676016033,0.214212442453338,0.05344755346472914,0.21423732736001402,0.054447243787489004
0.52,0.2184,0.998767882383927,-0.04962577070762668,0.21842481288535381,0.05329042352602562,0.21847443865606145,0.05428919140840955
0.523,0.21966,0.9983742534385338,-0.05699868481859922,0.2196884993424093,0.05322295426968952,0.2197454980272279,0.054221328523128054
0.53,0.2226,0.9972522160964374,-0.07408115476114278,0.22263704057738057,0.05302923825235847,0.22271112173214172,0.0540264904684549
0.53709,0.22557779999999997,0.9958351420459659,-0.09117219897694039,0.22562338609948843,0.05278157151218087,0.22571455829846537,0.05377740665422684
0.54,0.2268,0.9951751129726363,-0.09811470083479076,0.2268490573504174,0.05266504132639503,0.2269471720512522,0.05366021643936767
0.55,0.231,0.992579510013711,-0.12159735318230108,0.23106079867659116,0.05219928743682841,0.23118239602977347,0.05319186694684212
0.55199,0.23183579999999998,0.9920055796024698,-0.12619401743968675,0.23189889700871982,0.052094642207885934,0.2320250910261595,0.05308664778748841
0.56,0.23520000000000002,0.9895180512697068,-0.1444092317388392,0.23527220461586945,0.0516338359016735,0.23541661384760829,0.05262335395294321
0.56632,0.23785440000000002,0.9873701304863621,-0.15843050660571753,0.2379336152533029,0.05122605970635077,0.2380920457599086,0.05221342983683713
0.57,0.23939999999999997,0.9860514007054632,-0.16644108617403966,0.239483220543087,0.05097094259070224,0.23964966162926105,0.051956993991407706
0.58108,0.2440536,0.9818181871116418,-0.18982372732830113,0.24414851186366415,0.05012587087920893,0.24433833559099247,0.05110768906632057
0.59,0.24779999999999996,0.9781742261668898,-0.20778638854074746,0.24790389319427034,0.049363777138886844,0.24811167958281108,0.05034195136505373
0.59548,0.2501016,0.9758558118174797,-0.21841573785340582,0.2502108078689267,0.04886054061929953,0.2504292236067801,0.04983639643111701
0.6,0.252,0.9739084698394262,-0.22694116500764544,0.25211347058250383,0.04842590458585583,0.2523404117475115,0.049399813055695255
0.61,0.2562,0.9695234908970893,-0.24499836856338797,0.2563224991842817,0.04740336267900696,0.2565674975528451,0.04837288616990405
0.61061,0.25645619999999997,0.9692537927003296,-0.2460631734657312,0.25657923158673285,0.04733833633229951,0.25682529476019855,0.04830759012499984
0.62,0.26039999999999996,0.9650928263892684,-0.2619080687034548,0.26053095403435167,0.04630021503986206,0.26079286210305513,0.04726530786625133
0.62486,0.2624412,0.9629444999571409,-0.2696996292216432,0.2625760498146108,0.045736277795353275,0.26284574944383243,0.04669922229531042
0.63962,0.2686404,0.9565380221027183,-0.29160763411100804,0.2687862038170555,0.043918708210159266,0.2690778114511665,0.04487524623226199
0.6586,0.27661199999999997,0.9488227528398485,-0.3158090937471748,0.27676990454687356,0.04137008760293058,0.27708571364062073,0.04231891035577043
0.67319,0.2827398,0.9435165387541412,-0.33132543080392307,0.28290546271540196,0.03927024802701882,0.2832367881462059,0.040213764565772955
0.68732,0.2886744,0.9390511808948666,-0.3437773693249116,0.28884628868466244,0.03713831945954026,0.28919006605398734,0.03807737064043513
0.70193,0.29481060000000003,0.9352505274630002,-0.35398651228567996,0.2949875932561429,0.03485035565488458,0.29534157976842856,0.03578560618234758
0.71624,0.3008208,0.9324246355977404,-0.3613644959461583,0.3010014822479731,0.03254534168906765,0.3013628467439192,0.03347776632466539
0.7302,0.30668399999999996,0.9305873393617571,-0.36606994388997016,0.30686703497194495,0.030253583450687037,0.3072331049158349,0.031184170790048794
0.74487,0.3128454,0.9296793559776159,-0.3683697803417719,0.3130295848901709,0.027818859406075373,0.3133979546705127,0.028748538762052987
0.75,0.315,0.9296137836531821,-0.3685352265957961,0.3151842676132979,0.026964806891826596,0.3155528028398937,0.02789442067547978
0.75879,0.31869179999999997,0.929806208553896,-0.3680494729443704,0.31887582473647214,0.02550207326910922,0.3192438742094165,0.02643187947766312
0.76,0.3192,0.9298627801204951,-0.36790652365320164,0.31938395326182656,0.025300982622533455,0.31975185978547976,0.02623084540265395
0.77255,0.32447099999999995,0.9308752003546615,-0.36533732544686504,0.3246536686627234,0.0232233129729443,0.32501900598817024,0.024154188173298962
0.78,0.3276,0.9318383217247733,-0.36287372757635367,0.3277814368637882,0.022000314324340693,0.3281443105913645,0.022932152646065466
0.78691,0.33050219999999997,0.9329667032309243,-0.3599626795411163,0.3306821813397705,0.020875746787539427,0.33104214401931165,0.021808713490770352
0.79,0.3318,0.9335428868540183,-0.35846572835386326,0.3319792328641769,0.020376489433558354,0.33233769859253076,0.021310032320412373
0.8,0.336,0.9357013688522984,-0.35279306729006854,0.33617639653364506,0.01877890033349005,0.33652918960093514,0.019714601702342346
0.80177,0.33674339999999997,0.9361288982300404,-0.3516570572285031,0.3369192285286142,0.018499337747931197,0.33727088558584273,0.019435466646161238
0.81,0.3402,0.9382887214432701,-0.34585296762114565,0.34037292648381057,0.01721384371457766,0.3407187794514317,0.018152132436020933
0.8159,0.342678,0.940004185410734,-0.34116291036732316,0.34284858145518365,0.016308222822054023,0.34318974436555094,0.017248227007464756
