x_over_c,Cf_exp,Cf_uncertainty,Cf_cfd,Cf_error
1.06,-0.00073,3e-05,0.0005603863047416299,0.0012903863047416299
1.07,-0.00061,3e-05,0.0007064075653413758,0.0013164075653413756
1.08,-0.00048,4e-05,0.0008440537326339,0.0013240537326339001
1.09,-0.00038,4e-05,0.000972247693793679,0.001352247693793679
1.15,0.00049,4e-05,0.0016049179919823853,0.0011149179919823853
1.16,0.00061,4e-05,0.0017062432510137938,0.0010962432510137937
1.17,0.00073,3e-05,0.0017662437603280143,0.0010362437603280144
1.18,0.00074,3e-05,0.0018207531146843447,0.0010807531146843448
1.19,0.00081,3e-05,0.001870221858780065,0.001060221858780065
1.2,0.0009,3e-05,0.0019150772759067205,0.0010150772759067205
1.21,0.00098,3e-05,0.00197458318373893,0.0009945831837389302
1.22,0.00104,3e-05,0.002009608421890992,0.0009696084218909923
1.23,0.00113,3e-05,0.00204131436822248,0.0009113143682224802
1.24,0.00119,3e-05,0.002070012286929406,0.0008800122869294059
1.25,0.00127,3e-05,0.002108040063660868,0.000838040063660868
1.26,0.00136,3e-05,0.0021304226335933816,0.0007704226335933815
1.27,0.00139,4e-05,0.0021507008949070623,0.0007607008949070623
1.28,0.00144,4e-05,0.0021690798345608414,0.0007290798345608413
1.29,0.00151,5e-05,0.0021857424364874417,0.0006757424364874417
1.3,0.00151,5e-05,0.0022008531081791527,0.0006908531081791527
1.31,0.00157,5e-05,0.00222093010936768,0.0006509301093676801
1.32,0.00159,5e-05,0.0022327798616999005,0.0006427798616999005
