x_over_c,Cp_exp,Cp_pyfr,cfd_x_over_c,dx_over_c,abs_error
0.90239,-0.4482,nan,0.9023786706178367,-1.1329382163305368e-05,nan
0.91668,-0.4318,nan,0.9166886409123739,8.640912373847343e-06,nan
0.93107,-0.4231,nan,0.931079401856377,9.401856377100337e-06,nan
0.94509,-0.4084,nan,0.9450890681370586,-9.318629413668233e-07,nan
0.95991,-0.3837,nan,0.959877385979607,-3.261402039300698e-05,nan
0.97394,-0.3624,nan,0.9739640922773453,2.4092277345233448e-05,nan
0.9884,-0.3371,nan,0.9883912546294077,-8.745370592255775e-06,nan
1.0031,-0.3011,nan,1.0030912580313507,-8.741968649417231e-06,nan
1.0175,-0.2667,nan,1.0175097674604445,9.767460444454201e-06,nan
1.0315,-0.2427,nan,1.0315207261887807,2.0726188780573196e-05,nan
1.0458,-0.2026,nan,1.0458170480671383,1.7048067138203393e-05,nan
1.0944,-0.1318,nan,1.0944043596585593,4.359658559272006e-06,nan
1.1269,-0.0986,nan,1.1269125910032363,1.2591003236250842e-05,nan
1.16,-0.0883,nan,1.1600223562074088,2.235620740886901e-05,nan
1.193,-0.0544,nan,1.192996879013217,-3.120986783011759e-06,nan
1.226,-0.0422,nan,1.2259950240453086,-4.975954691399664e-06,nan
1.26,-0.0401,nan,1.2599946487517584,-5.351248241636242e-06,nan
1.2938,-0.0377,nan,1.2938574666068667,5.746660686667404e-05,nan
1.3267,-0.0407,nan,1.326709134238107,9.134238107000314e-06,nan
1.3596,-0.0432,nan,1.3595962808245705,-3.719175429406363e-06,nan
1.3926,-0.0432,nan,1.3925800366061074,-1.9963393892652448e-05,nan
1.4266,-0.0533,nan,1.4265863668350947,-1.3633164905435535e-05,nan
1.4597,-0.0564,nan,1.4596902188800631,-9.781119936880245e-06,nan
1.4931,-0.0597,nan,1.493096493539356,-3.5064606440649015e-06,nan
1.5268,-0.064,nan,1.526761784845469,-3.821515453084068e-05,nan
1.5593,-0.0662,nan,1.5592854647409349,-1.4535259065029393e-05,nan
1.5933,-0.0684,nan,1.5932896307536535,-1.0369246346453309e-05,nan
1.6265,-0.0736,nan,1.6264740909848896,-2.5909015110459066e-05,nan
1.6594,-0.0763,nan,1.6593320383912042,-6.796160879574131e-05,nan
1.6927,-0.0769,nan,1.6927151452927363,1.514529273616283e-05,nan
1.7258,-0.0797,nan,1.7257911818368095,-8.818163190538186e-06,nan
1.7594,-0.0802,nan,1.7593990479196822,-9.520803179174919e-07,nan
1.7923,-0.0821,nan,1.7922587337948028,-4.126620519717683e-05,nan
1.8259,-0.0788,nan,1.8258670965830486,-3.2903416951501896e-05,nan
1.859,-0.0786,nan,1.8589953581492107,-4.641850789299795e-06,nan
1.8926,-0.0817,nan,1.892604572432382,4.572432381833025e-06,nan
1.9254,-0.0809,nan,1.92539400997616,-5.9900238400523165e-06,nan
1.9588,-0.0816,nan,1.958874577567691,7.457756769091439e-05,nan
