x_m,x_over_c,y_wall_m,pressure,Cp
-1.339227020740509,-3.188635763667879,0.18695642054080963,nan,nan
-1.339203119277954,-3.1885788554237005,0.23927944898605347,nan,nan
-1.3389880657196045,-3.1880668231419156,0.04847896099090576,nan,nan
-1.3389394283294678,-3.187951019832066,0.0,nan,nan
-1.3389092683792114,-3.187879210426694,0.07063508033752441,nan,nan
-1.3388956785202026,-3.18784685361953,0.21418040990829468,nan,nan
-1.3388479948043823,-3.187733320962815,0.1559150069952011,nan,nan
-1.3388417959213257,-3.187718561717442,0.0049303756095469,nan,nan
-1.3388023376464844,-3.1876246134440107,0.1738407164812088,nan,nan
-1.338393211364746,-3.1866505032493957,0.013117054477334023,nan,nan
-1.3383803963661194,-3.1866199913479036,0.057224687188863754,nan,nan
-1.338361144065857,-3.1865741525377547,0.06187252327799797,nan,nan
-1.3383464813232422,-3.1865392412458147,0.06652035564184189,nan,nan
-1.338336706161499,-3.1865159670511884,0.006981829181313515,nan,nan
-1.3383225202560425,-3.1864821910858154,0.21898935735225677,nan,nan
-1.3383046388626099,-3.1864396163395474,0.23114506900310516,nan,nan
-1.3381786346435547,-3.186139606294178,0.2584850788116455,nan,nan
-1.3381369709968567,-3.186040407135373,0.0032869172282516956,nan,nan
-1.3380621671676636,-3.1858623027801514,0.25341811776161194,nan,nan
-1.3380476236343384,-3.1858276753198536,0.3330284357070923,nan,nan
-1.3380422592163086,-3.185814902895973,0.34694766998291016,nan,nan
-1.337945580482483,-3.185584715434483,0.24835112690925598,nan,nan
-1.3379179239273071,-3.1855188664935885,0.16473732888698578,nan,nan
-1.3378296030892267,-3.1853085787838733,0.009033282287418842,nan,nan
-1.3378162384033203,-3.185276758103144,0.09233687072992325,nan,nan
-1.3377602100372314,-3.1851433572315035,0.09622819721698761,nan,nan
-1.337743192911148,-3.1851028402646384,0.30978071689605713,nan,nan
-1.3377313613891602,-3.185074669974191,0.30060499906539917,nan,nan
-1.337704062461853,-3.1850096725282215,0.10011953115463257,nan,nan
-1.3375695943832397,-3.1846895104362853,0.030392039567232132,nan,nan
-1.3375636339187622,-3.184675318854196,0.027144549414515495,nan,nan
-1.33753502368927,-3.1846071992601668,0.02325332723557949,nan,nan
-1.3375080227851868,-3.184542911393302,0.019362106919288635,nan,nan
-1.3374299208323162,-3.1843569543626575,0.0016434586141258478,nan,nan
-1.3374080657958984,-3.184304918561663,0.3192860782146454,nan,nan
-1.3373266458511353,-3.1841110615503223,0.01108473539352417,nan,nan
-1.3373233079910278,-3.184103114264352,0.016183625906705856,nan,nan
-1.3372888565063477,-3.1840210869198753,0.2916398346424103,nan,nan
-1.337281346321106,-3.1840032055264427,0.03801059350371361,nan,nan
-1.337215781211853,-3.1838470981234597,0.07774695754051208,nan,nan
-1.337095022201538,-3.183559576670329,0.2270515114068985,nan,nan
-1.3370872735977173,-3.1835411276136125,0.26313942670822144,nan,nan
-1.3370689749717712,-3.1834975594565984,0.28715723752975464,nan,nan
-1.3370481729507446,-3.1834480308351063,0.005321859382092953,nan,nan
-1.3369522094726562,-3.1832195463634676,0.04114363342523575,nan,nan
-1.336930513381958,-3.183167889004662,0.2351497858762741,nan,nan
-1.3368932008743286,-3.1830790497007824,0.08899236470460892,nan,nan
-1.3367594480514526,-3.182760590598697,0.08514512330293655,nan,nan
-1.3367353677749634,-3.1827032566070557,0.32912111282348633,nan,nan
-1.336727261543274,-3.1826839560554143,0.0,nan,nan
-1.3367022275924683,-3.182624351410639,0.20632533729076385,nan,nan
-1.3366529941558838,-3.1825071289425804,0.07363224029541016,nan,nan
-1.3366256356239319,-3.1824419895807905,0.0812978744506836,nan,nan
-1.3365790247917175,-3.182331011408851,0.10386303812265396,nan,nan
-1.336543083190918,-3.1822454361688526,0.00737331248819828,nan,nan
-1.3364757299423218,-3.1820850712912425,0.20254932343959808,nan,nan
-1.3364214897155762,-3.1819559278942293,0.10789868235588074,nan,nan
-1.3364136219024658,-3.181937195005871,0.11622505635023117,nan,nan
-1.3363662958145142,-3.1818245138440813,0.12035895884037018,nan,nan
-1.336358944574992,-3.1818070108928382,0.045241519808769226,nan,nan
-1.336345911026001,-3.1817759786333357,0.2822541892528534,nan,nan
-1.3363434076309204,-3.181770018168858,0.003678400767967105,nan,nan
-1.3363256454467773,-3.181727727254232,0.15291227400302887,nan,nan
-1.336318850517273,-3.18171154885065,0.12449286133050919,nan,nan
-1.3362617492675781,-3.181575593494234,0.014151307754218578,nan,nan
-1.3362034559249878,-3.1814367998213995,0.19810797274112701,nan,nan
-1.3361681699752808,-3.1813527856554304,0.12842801213264465,nan,nan
-1.3361289501190186,-3.1812594050452825,0.21113428473472595,nan,nan
-1.3360902070999146,-3.1811671597617015,0.06951751559972763,nan,nan
-1.336057186126709,-3.181088538396926,0.13256573677062988,nan,nan
-1.3360381126403809,-3.18104312533424,0.009424765594303608,nan,nan
-1.3359938859939575,-3.180937823795137,0.267793744802475,nan,nan
-1.3359460830688477,-3.1808240073067804,0.1367034614086151,nan,nan
-1.3359313011169434,-3.1807888121831986,0.19366660714149475,nan,nan
-1.3359174728393555,-3.1807558877127513,0.17202456295490265,nan,nan
-1.3358854055404663,-3.1806795370011103,0.22295795381069183,nan,nan
-1.3358606100082397,-3.1806205000196184,0.1573234349489212,nan,nan
-1.335791826248169,-3.180456729162307,0.05499894544482231,nan,nan
-1.3357760906219482,-3.180419263385591,0.05964678153395653,nan,nan
-1.3357733488082886,-3.18041273525783,0.3437693119049072,nan,nan
-1.3357617855072021,-3.1803852035885765,0.049339409917593,nan,nan
-1.3356385231018066,-3.1800917216709683,0.002034942153841257,nan,nan
-1.3356237411499023,-3.1800565265473866,0.27735114097595215,nan,nan
-1.335556149482727,-3.179895594006493,0.21594323217868805,nan,nan
-1.3354753255844116,-3.1797031561533613,0.16747286915779114,nan,nan
-1.3354657888412476,-3.179680449622018,0.14087159931659698,nan,nan
-1.3354618151982625,-3.179670988567292,0.14503885805606842,nan,nan
-1.3354167938232422,-3.1795637948172435,0.1805536299943924,nan,nan
-1.335410475730896,-3.1795487517402288,0.18483564257621765,nan,nan
-1.335399866104126,-3.1795234907241094,0.16173459589481354,nan,nan
-1.3352545499801636,-3.1791774999527704,0.005713343154639006,nan,nan
-1.3351962566375732,-3.1790387062799366,0.09426748752593994,nan,nan
-1.3351918458938599,-3.17902820450919,0.0121189896017313,nan,nan
-1.3351401090621948,-3.1789050215766546,0.0981588140130043,nan,nan
-1.3351212739944458,-3.178860176177252,0.25606393814086914,nan,nan
-1.3350048065185547,-3.1785828726632257,0.2509969472885132,nan,nan
-1.3349014520645142,-3.1783367906297957,0.2724480628967285,nan,nan
-1.334888219833374,-3.1783052853175575,0.24592997133731842,nan,nan
-1.334749460220337,-3.1779749052865167,0.007764796260744333,nan,nan
-1.3346580266952515,-3.1777572064172657,0.23102012276649475,nan,nan
-1.3345764875411987,-3.177563065574283,0.06706762313842773,nan,nan
-1.3345497846603394,-3.1774994872865223,0.004069884307682514,nan,nan
-1.3345296382904053,-3.1774515197390603,0.03192872181534767,nan,nan
-1.3345185816287994,-3.1774251943542846,0.0,nan,nan
-1.33451247215271,-3.1774106479826427,0.052314791828393936,nan,nan
