x_m,Cp_near_wall,Cf,tau_x_Pa
-0.496969512195122,-0.004171036386998738,-0.0023324833438457407,-1.71031790295
-0.49505487804878046,-0.004234898830799029,-0.002331157917097675,-1.70934601987
-0.49314024390243905,-0.0036450280318908942,-0.0023298202237267652,-1.70836514216
-0.4912256097560975,-0.0036450280318908942,-0.002328468066110202,-1.70737365839
-0.4893109756097561,-0.0042993698161976545,-0.0023270989200291025,-1.70636971765
-0.4873963414634146,-0.0042993698161976545,-0.002325710321134167,-1.70535151293
-0.4854817073170732,-0.004364454255978,-0.0023242984368720254,-1.70431623397
-0.48356707317073166,-0.004267650168264438,-0.002322862213606215,-1.70326310818
-0.48165243902439026,-0.004267650168264438,-0.002321392735992188,-1.70218559829
-0.47973780487804873,-0.0044302037140885745,-0.002319907875700382,-1.70109680889
-0.4778231707317073,-0.0044302037140885745,-0.0023183825037759427,-1.69997831391
-0.4759085365853658,-0.0044302037140885745,-0.0023168391734997313,-1.69884665078
-0.4739939024390244,-0.004496629614133648,-0.0023151794767889444,-1.69762966074
-0.4720792682926829,-0.004496629614133648,-0.002313487835973709,-1.69638924735
-0.47016463414634146,-0.004563697916099093,-0.0023117540642786562,-1.69511794105
-0.46824999999999994,-0.004563697916099093,-0.002309956888459149,-1.69380014301
-0.46633536585365853,-0.004563697916099093,-0.0023080940395398355,-1.69243418948
-0.464420731707317,-0.004631389694700739,-0.0023061569280630823,-1.69101378215
-0.4625060975609756,-0.004631389694700739,-0.0023041517307423485,-1.68954345016
-0.4605914634146341,-0.004699693904841611,-0.0023020785745038767,-1.68802328658
-0.4586768292682927,-0.004699693904841611,-0.0022999397798326784,-1.68645499293
-0.45676219512195115,-0.004699693904841611,-0.0022977263621455127,-1.68483198117
-0.45484756097560974,-0.004768593813093105,-0.0022954281097645377,-1.68314676348
-0.4529329268292682,-0.004768593813093105,-0.0022930323278971113,-1.68139003127
-0.4510182926829268,-0.004838063723484961,-0.0022905274010668786,-1.67955326737
-0.4491036585365853,-0.004838063723484961,-0.002287900995539784,-1.67762742794
-0.4471890243902439,-0.004838063723484961,-0.002285139976952256,-1.67560288207
-0.4452743902439024,-0.004908082641824502,-0.0022822302990819767,-1.67346933022
-0.44335975609756095,-0.004908082641824502,-0.0022791567880037175,-1.67121564595
-0.44144512195121954,-0.004978655239948454,-0.0022759033675071815,-1.66883004121
-0.439530487804878,-0.004978655239948454,-0.0022724522604858706,-1.66629948075
